features,coefficients
day_of_week_Saturday,936.0
day_of_week_Sunday,764.0
is_holiday_True,606.0
day_of_week_Friday,499.0
season_Summer,389.0
season_Spring,207.0
is_long_weekend_True,97.0
day_of_week_Wednesday,68.0
day_of_week_Thursday,27.0
day_of_week_Tuesday,22.0
season_Fall,1.0
rain,-4.0
snow,-19.0
HCF?_True,-46.0
ICF?_True,-57.0
avg_temperature,-116.0
Kim's?_True,-194.0
