features,coefficients
day_of_week_Saturday,1043.0
day_of_week_Sunday,909.0
day_of_week_Friday,680.0
is_holiday_True,622.0
season_Summer,439.0
ICF?_True,360.0
season_Spring,185.0
is_long_weekend_True,173.0
avg_temperature,145.0
day_of_week_Thursday,68.0
day_of_week_Wednesday,56.0
HCF?_True,40.0
day_of_week_Tuesday,-2.0
snow,-17.0
Kim's?_True,-47.0
season_Fall,-74.0
rain,-96.0
