features,coefficients
day_of_week_Saturday,2267.0
day_of_week_Sunday,1918.0
is_holiday_True,1457.0
day_of_week_Friday,1335.0
season_Summer,894.0
season_Spring,555.0
ICF?_True,302.0
HCF?_True,283.0
is_long_weekend_True,229.0
day_of_week_Wednesday,124.0
day_of_week_Thursday,87.0
avg_temperature,24.0
day_of_week_Tuesday,-21.0
snow,-47.0
rain,-109.0
season_Fall,-122.0
Kim's?_True,-302.0
